date,prodId,category,daily_sales_qty,currentQuantity,unitCost,incomingStock,lead_time_days,safety_stock
2025-09-01,ITM-008,Electronics,2,47,300,23,3,40
2025-09-01,ITM-004,Furniture,2,141,45,16,5,40
2025-09-01,ITM-003,Furniture,6,49,150,9,5,40
2025-09-01,ITM-005,Accessories,4,136,90,6,6,40
2025-09-01,ITM-010,Electronics,3,75,200,3,3,40
2025-09-01,ITM-001,Electronics,7,130,400,31,5,40
2025-09-01,ITM-009,Furniture,8,32,450,8,6,40
2025-09-01,ITM-007,Accessories,5,27,25,1,5,40
2025-09-01,ITM-006,Accessories,1,110,40,33,7,40
2025-09-02,ITM-008,Electronics,2,58,300,23,4,40
2025-09-02,ITM-004,Furniture,2,125,45,16,5,40
2025-09-02,ITM-003,Furniture,2,142,150,9,6,40
2025-09-02,ITM-002,Electronics,7,81,800,49,6,40
2025-09-02,ITM-005,Accessories,24,77,90,6,3,40
2025-09-02,ITM-010,Electronics,7,133,200,3,4,40
2025-09-02,ITM-009,Furniture,15,107,450,8,6,40
2025-09-02,ITM-007,Accessories,2,93,25,1,7,40
2025-09-02,ITM-006,Accessories,18,145,40,33,6,40
2025-09-03,ITM-008,Electronics,10,112,300,23,7,40
2025-09-03,ITM-004,Furniture,11,78,45,16,7,40
2025-09-03,ITM-003,Furniture,2,143,150,9,5,40
2025-09-03,ITM-002,Electronics,3,48,800,49,4,40
2025-09-03,ITM-005,Accessories,4,43,90,6,3,40
2025-09-03,ITM-010,Electronics,7,94,200,3,3,40
2025-09-03,ITM-001,Electronics,10,127,400,31,3,40
2025-09-03,ITM-009,Furniture,3,103,450,8,3,40
2025-09-03,ITM-007,Accessories,11,104,25,1,4,40
2025-09-03,ITM-006,Accessories,4,105,40,33,3,40
2025-09-04,ITM-008,Electronics,4,46,300,23,3,40
2025-09-04,ITM-004,Furniture,7,93,45,16,3,40
2025-09-04,ITM-003,Furniture,2,82,150,9,6,40
2025-09-04,ITM-005,Accessories,3,136,90,6,6,40
2025-09-04,ITM-010,Electronics,6,11,200,3,7,40
2025-09-04,ITM-001,Electronics,6,108,400,31,5,40
2025-09-04,ITM-009,Furniture,2,14,450,8,3,40
2025-09-04,ITM-007,Accessories,9,65,25,1,3,40
2025-09-04,ITM-006,Accessories,8,95,40,33,4,40
2025-09-05,ITM-008,Electronics,9,36,300,23,4,40
2025-09-05,ITM-004,Furniture,4,22,45,16,7,40
2025-09-05,ITM-002,Electronics,11,83,800,49,4,40
2025-09-05,ITM-010,Electronics,5,147,200,3,7,40
2025-09-05,ITM-001,Electronics,5,20,400,31,3,40
2025-09-05,ITM-009,Furniture,2,140,450,8,5,40
2025-09-05,ITM-007,Accessories,20,102,25,1,4,40
2025-09-05,ITM-006,Accessories,4,83,40,33,3,40
2025-09-06,ITM-008,Electronics,2,124,300,23,4,40
2025-09-06,ITM-003,Furniture,10,51,150,9,4,40
2025-09-06,ITM-005,Accessories,3,142,90,6,7,40
2025-09-06,ITM-010,Electronics,1,76,200,3,5,40
2025-09-06,ITM-001,Electronics,9,74,400,31,3,40
2025-09-06,ITM-009,Furniture,8,116,450,8,3,40
2025-09-06,ITM-007,Accessories,3,32,25,1,6,40
2025-09-06,ITM-006,Accessories,1,49,40,33,5,40
2025-09-07,ITM-008,Electronics,6,64,300,23,7,40
2025-09-07,ITM-004,Furniture,5,10,45,16,3,40
2025-09-07,ITM-003,Furniture,11,64,150,9,5,40
2025-09-07,ITM-002,Electronics,13,13,800,49,4,40
2025-09-07,ITM-010,Electronics,9,31,200,3,5,40
2025-09-07,ITM-001,Electronics,5,86,400,31,3,40
2025-09-07,ITM-009,Furniture,7,54,450,8,3,40
2025-09-07,ITM-007,Accessories,10,36,25,1,5,40
2025-09-07,ITM-006,Accessories,20,77,40,33,3,40
2025-09-08,ITM-008,Electronics,14,99,300,23,7,40
2025-09-08,ITM-004,Furniture,2,61,45,16,6,40
2025-09-08,ITM-003,Furniture,6,107,150,9,7,40
2025-09-08,ITM-005,Accessories,9,131,90,6,3,40
2025-09-08,ITM-010,Electronics,5,39,200,3,3,40
2025-09-08,ITM-001,Electronics,13,52,400,31,6,40
2025-09-08,ITM-009,Furniture,16,88,450,8,6,40
2025-09-09,ITM-004,Furniture,2,30,45,16,7,40
2025-09-09,ITM-003,Furniture,11,96,150,9,5,40
2025-09-09,ITM-005,Accessories,8,96,90,6,3,40
2025-09-09,ITM-010,Electronics,9,146,200,3,3,40
2025-09-09,ITM-001,Electronics,2,106,400,31,4,40
2025-09-09,ITM-006,Accessories,13,148,40,33,5,40
2025-09-10,ITM-004,Furniture,9,74,45,16,7,40
2025-09-10,ITM-003,Furniture,7,42,150,9,5,40
2025-09-10,ITM-005,Accessories,1,147,90,6,6,40
2025-09-10,ITM-010,Electronics,4,107,200,3,7,40
2025-09-10,ITM-001,Electronics,12,111,400,31,3,40
2025-09-10,ITM-007,Accessories,3,30,25,1,4,40
2025-09-10,ITM-006,Accessories,5,147,40,33,5,40
2025-09-11,ITM-008,Electronics,4,121,300,23,4,40
2025-09-11,ITM-002,Electronics,3,130,800,49,7,40
2025-09-11,ITM-005,Accessories,2,74,90,6,7,40
2025-09-11,ITM-010,Electronics,8,57,200,3,5,40
2025-09-11,ITM-001,Electronics,6,64,400,31,5,40
2025-09-11,ITM-009,Furniture,5,17,450,8,3,40
2025-09-11,ITM-006,Accessories,4,32,40,33,3,40
2025-09-12,ITM-004,Furniture,3,139,45,16,7,40
2025-09-12,ITM-003,Furniture,4,47,150,9,6,40
2025-09-12,ITM-005,Accessories,11,46,90,6,6,40
2025-09-12,ITM-010,Electronics,5,85,200,3,6,40
2025-09-12,ITM-001,Electronics,1,146,400,31,3,40
2025-09-12,ITM-009,Furniture,1,120,450,8,5,40
2025-09-12,ITM-007,Accessories,3,46,25,1,7,40
2025-09-13,ITM-008,Electronics,4,90,300,23,5,40
2025-09-13,ITM-004,Furniture,2,136,45,16,7,40
2025-09-13,ITM-002,Electronics,2,136,800,49,5,40
2025-09-13,ITM-010,Electronics,10,132,200,3,7,40
2025-09-13,ITM-001,Electronics,7,98,400,31,4,40
2025-09-13,ITM-009,Furniture,2,11,450,8,5,40
2025-09-13,ITM-007,Accessories,5,105,25,1,3,40
2025-09-14,ITM-008,Electronics,5,78,300,23,7,40
2025-09-14,ITM-004,Furniture,14,47,45,16,3,40
2025-09-14,ITM-003,Furniture,1,10,150,9,7,40
2025-09-14,ITM-005,Accessories,12,112,90,6,6,40
2025-09-14,ITM-010,Electronics,10,118,200,3,4,40
2025-09-14,ITM-007,Accessories,10,93,25,1,4,40
2025-09-15,ITM-008,Electronics,15,67,300,23,5,40
2025-09-15,ITM-004,Furniture,4,12,45,16,6,40
2025-09-15,ITM-003,Furniture,3,69,150,9,3,40
2025-09-15,ITM-002,Electronics,2,29,800,49,3,40
2025-09-15,ITM-005,Accessories,5,40,90,6,3,40
2025-09-15,ITM-010,Electronics,4,148,200,3,6,40
2025-09-15,ITM-001,Electronics,5,91,400,31,3,40
2025-09-15,ITM-009,Furniture,7,101,450,8,7,40
2025-09-15,ITM-007,Accessories,9,105,25,1,3,40
2025-09-15,ITM-006,Accessories,3,47,40,33,6,40
2025-09-16,ITM-008,Electronics,10,115,300,23,7,40
2025-09-16,ITM-004,Furniture,14,55,45,16,7,40
2025-09-16,ITM-003,Furniture,4,56,150,9,7,40
2025-09-16,ITM-002,Electronics,14,138,800,49,5,40
2025-09-16,ITM-005,Accessories,11,47,90,6,6,40
2025-09-16,ITM-010,Electronics,12,125,200,3,6,40
2025-09-16,ITM-001,Electronics,15,23,400,31,4,40
2025-09-16,ITM-009,Furniture,6,119,450,8,6,40
2025-09-16,ITM-007,Accessories,3,118,25,1,6,40
2025-09-16,ITM-006,Accessories,14,103,40,33,3,40
2025-09-17,ITM-008,Electronics,4,23,300,23,7,40
2025-09-17,ITM-004,Furniture,6,125,45,16,3,40
2025-09-17,ITM-002,Electronics,4,116,800,49,4,40
2025-09-17,ITM-005,Accessories,5,127,90,6,6,40
2025-09-17,ITM-010,Electronics,1,125,200,3,6,40
2025-09-17,ITM-001,Electronics,10,19,400,31,3,40
2025-09-17,ITM-009,Furniture,1,135,450,8,7,40
2025-09-17,ITM-007,Accessories,5,17,25,1,4,40
2025-09-17,ITM-006,Accessories,8,16,40,33,4,40
2025-09-18,ITM-008,Electronics,9,70,300,23,6,40
2025-09-18,ITM-004,Furniture,9,104,45,16,4,40
2025-09-18,ITM-003,Furniture,2,13,150,9,4,40
2025-09-18,ITM-005,Accessories,8,90,90,6,3,40
2025-09-18,ITM-010,Electronics,2,118,200,3,7,40
2025-09-18,ITM-001,Electronics,8,27,400,31,4,40
2025-09-18,ITM-009,Furniture,1,145,450,8,3,40
2025-09-18,ITM-007,Accessories,7,105,25,1,5,40
2025-09-18,ITM-006,Accessories,2,148,40,33,4,40
2025-09-19,ITM-008,Electronics,1,56,300,23,7,40
2025-09-19,ITM-003,Furniture,9,45,150,9,5,40
2025-09-19,ITM-002,Electronics,9,133,800,49,4,40
2025-09-19,ITM-005,Accessories,5,90,90,6,3,40
2025-09-19,ITM-010,Electronics,4,123,200,3,3,40
2025-09-19,ITM-009,Furniture,8,106,450,8,5,40
2025-09-19,ITM-007,Accessories,4,58,25,1,7,40
2025-09-19,ITM-006,Accessories,4,20,40,33,7,40
2025-09-20,ITM-008,Electronics,3,86,300,23,5,40
2025-09-20,ITM-004,Furniture,3,15,45,16,3,40
2025-09-20,ITM-003,Furniture,4,107,150,9,7,40
2025-09-20,ITM-005,Accessories,13,117,90,6,3,40
2025-09-20,ITM-010,Electronics,9,40,200,3,7,40
2025-09-20,ITM-009,Furniture,15,79,450,8,6,40
2025-09-20,ITM-006,Accessories,8,102,40,33,6,40
2025-09-21,ITM-008,Electronics,8,111,300,23,5,40
2025-09-21,ITM-004,Furniture,4,88,45,16,3,40
2025-09-21,ITM-003,Furniture,2,43,150,9,7,40
2025-09-21,ITM-010,Electronics,7,80,200,3,4,40
2025-09-21,ITM-001,Electronics,4,127,400,31,4,40
2025-09-21,ITM-009,Furniture,4,76,450,8,6,40
2025-09-21,ITM-007,Accessories,10,22,25,1,5,40
2025-09-21,ITM-006,Accessories,1,49,40,33,7,40
2025-09-22,ITM-008,Electronics,1,47,300,23,5,40
2025-09-22,ITM-004,Furniture,8,100,45,16,4,40
2025-09-22,ITM-002,Electronics,9,94,800,49,4,40
2025-09-22,ITM-005,Accessories,8,146,90,6,5,40
2025-09-22,ITM-001,Electronics,8,84,400,31,7,40
2025-09-22,ITM-007,Accessories,5,116,25,1,5,40
2025-09-22,ITM-006,Accessories,2,142,40,33,4,40
2025-09-23,ITM-008,Electronics,7,79,300,23,4,40
2025-09-23,ITM-004,Furniture,2,112,45,16,7,40
2025-09-23,ITM-003,Furniture,5,139,150,9,7,40
2025-09-23,ITM-002,Electronics,4,10,800,49,7,40
2025-09-23,ITM-005,Accessories,3,79,90,6,5,40
2025-09-23,ITM-010,Electronics,10,86,200,3,5,40
2025-09-23,ITM-009,Furniture,2,37,450,8,5,40
2025-09-23,ITM-007,Accessories,6,55,25,1,5,40
2025-09-23,ITM-006,Accessories,9,134,40,33,3,40
2025-09-24,ITM-008,Electronics,5,69,300,23,4,40
2025-09-24,ITM-004,Furniture,10,39,45,16,3,40
2025-09-24,ITM-003,Furniture,5,36,150,9,4,40
2025-09-24,ITM-002,Electronics,11,56,800,49,4,40
2025-09-24,ITM-005,Accessories,1,126,90,6,7,40
2025-09-24,ITM-010,Electronics,15,120,200,3,3,40
2025-09-24,ITM-001,Electronics,21,52,400,31,6,40
2025-09-24,ITM-009,Furniture,12,94,450,8,4,40
2025-09-24,ITM-007,Accessories,2,89,25,1,4,40
2025-09-24,ITM-006,Accessories,8,119,40,33,3,40
2025-09-25,ITM-008,Electronics,5,27,300,23,7,40
2025-09-25,ITM-004,Furniture,1,99,45,16,3,40
2025-09-25,ITM-003,Furniture,14,36,150,9,6,40
2025-09-25,ITM-002,Electronics,6,70,800,49,7,40
2025-09-25,ITM-005,Accessories,6,115,90,6,4,40
2025-09-25,ITM-010,Electronics,2,72,200,3,6,40
2025-09-25,ITM-001,Electronics,1,59,400,31,7,40
2025-09-25,ITM-009,Furniture,1,59,450,8,7,40
2025-09-25,ITM-007,Accessories,3,147,25,1,4,40
2025-09-25,ITM-006,Accessories,5,133,40,33,6,40
2025-09-26,ITM-004,Furniture,6,137,45,16,3,40
2025-09-26,ITM-003,Furniture,8,26,150,9,3,40
2025-09-26,ITM-005,Accessories,12,69,90,6,3,40
2025-09-26,ITM-010,Electronics,4,18,200,3,5,40
2025-09-26,ITM-001,Electronics,8,29,400,31,4,40
2025-09-26,ITM-009,Furniture,13,112,450,8,7,40
2025-09-26,ITM-007,Accessories,9,89,25,1,5,40
2025-09-26,ITM-006,Accessories,23,29,40,33,5,40
2025-09-27,ITM-008,Electronics,8,120,300,23,4,40
2025-09-27,ITM-004,Furniture,6,87,45,16,7,40
2025-09-27,ITM-003,Furniture,2,84,150,9,5,40
2025-09-27,ITM-002,Electronics,8,106,800,49,5,40
2025-09-27,ITM-005,Accessories,11,121,90,6,4,40
2025-09-27,ITM-010,Electronics,4,27,200,3,4,40
2025-09-27,ITM-001,Electronics,2,58,400,31,4,40
2025-09-27,ITM-009,Furniture,13,29,450,8,4,40
2025-09-27,ITM-007,Accessories,13,116,25,1,5,40
2025-09-28,ITM-003,Furniture,5,115,150,9,3,40
2025-09-28,ITM-002,Electronics,3,98,800,49,3,40
2025-09-28,ITM-005,Accessories,5,79,90,6,3,40
2025-09-28,ITM-010,Electronics,2,130,200,3,4,40
2025-09-28,ITM-001,Electronics,4,40,400,31,3,40
2025-09-28,ITM-009,Furniture,2,24,450,8,6,40
2025-09-28,ITM-006,Accessories,4,93,40,33,4,40
2025-09-29,ITM-008,Electronics,7,125,300,23,3,40
2025-09-29,ITM-004,Furniture,10,119,45,16,3,40
2025-09-29,ITM-003,Furniture,7,48,150,9,6,40
2025-09-29,ITM-002,Electronics,9,71,800,49,7,40
2025-09-29,ITM-010,Electronics,12,33,200,3,3,40
2025-09-29,ITM-001,Electronics,9,19,400,31,4,40
2025-09-29,ITM-009,Furniture,19,109,450,8,3,40
2025-09-29,ITM-006,Accessories,8,74,40,33,7,40
2025-09-30,ITM-008,Electronics,6,121,300,23,4,40
2025-09-30,ITM-004,Furniture,6,102,45,16,3,40
2025-09-30,ITM-003,Furniture,4,129,150,9,6,40
2025-09-30,ITM-002,Electronics,10,103,800,49,6,40
2025-09-30,ITM-005,Accessories,13,83,90,6,5,40
2025-09-30,ITM-010,Electronics,4,128,200,3,7,40
2025-09-30,ITM-001,Electronics,3,139,400,31,4,40
2025-09-30,ITM-009,Furniture,2,84,450,8,7,40
2025-09-30,ITM-007,Accessories,20,37,25,1,5,40
2025-09-30,ITM-006,Accessories,3,90,40,33,3,40
2025-10-01,ITM-008,Electronics,20,26,300,23,6,40
2025-10-01,ITM-004,Furniture,9,28,45,16,4,40
2025-10-01,ITM-003,Furniture,13,149,150,9,6,40
2025-10-01,ITM-002,Electronics,2,148,800,49,6,40
2025-10-01,ITM-005,Accessories,10,12,90,6,3,40
2025-10-01,ITM-010,Electronics,5,119,200,3,3,40
2025-10-01,ITM-001,Electronics,16,100,400,31,6,40
2025-10-01,ITM-009,Furniture,12,11,450,8,6,40
2025-10-01,ITM-007,Accessories,1,75,25,1,7,40
2025-10-01,ITM-006,Accessories,1,29,40,33,3,40
2025-10-02,ITM-004,Furniture,3,63,45,16,7,40
2025-10-02,ITM-003,Furniture,4,104,150,9,6,40
2025-10-02,ITM-005,Accessories,7,68,90,6,5,40
2025-10-02,ITM-001,Electronics,14,120,400,31,5,40
2025-10-02,ITM-009,Furniture,5,116,450,8,7,40
2025-10-03,ITM-008,Electronics,7,44,300,23,3,40
2025-10-03,ITM-004,Furniture,10,86,45,16,7,40
2025-10-03,ITM-003,Furniture,10,44,150,9,6,40
2025-10-03,ITM-002,Electronics,9,86,800,49,3,40
2025-10-03,ITM-005,Accessories,2,126,90,6,7,40
2025-10-03,ITM-010,Electronics,17,69,200,3,3,40
2025-10-03,ITM-009,Furniture,5,140,450,8,5,40
2025-10-03,ITM-007,Accessories,11,55,25,1,7,40
2025-10-03,ITM-006,Accessories,4,56,40,33,4,40
2025-10-04,ITM-004,Furniture,7,133,45,16,6,40
2025-10-04,ITM-003,Furniture,9,72,150,9,4,40
2025-10-04,ITM-002,Electronics,13,53,800,49,6,40
2025-10-04,ITM-005,Accessories,7,122,90,6,6,40
2025-10-04,ITM-010,Electronics,9,77,200,3,6,40
2025-10-04,ITM-001,Electronics,10,119,400,31,4,40
2025-10-04,ITM-009,Furniture,1,12,450,8,4,40
2025-10-04,ITM-007,Accessories,4,41,25,1,6,40
2025-10-04,ITM-006,Accessories,5,108,40,33,6,40
2025-10-05,ITM-008,Electronics,4,144,300,23,6,40
2025-10-05,ITM-004,Furniture,5,138,45,16,5,40
2025-10-05,ITM-003,Furniture,1,59,150,9,4,40
2025-10-05,ITM-005,Accessories,1,58,90,6,4,40
2025-10-05,ITM-010,Electronics,4,87,200,3,5,40
2025-10-05,ITM-001,Electronics,11,24,400,31,4,40
2025-10-05,ITM-009,Furniture,8,100,450,8,6,40
2025-10-05,ITM-007,Accessories,2,142,25,1,5,40
2025-10-05,ITM-006,Accessories,5,104,40,33,7,40
2025-10-06,ITM-004,Furniture,3,19,45,16,4,40
2025-10-06,ITM-003,Furniture,3,133,150,9,3,40
2025-10-06,ITM-002,Electronics,14,114,800,49,4,40
2025-10-06,ITM-005,Accessories,5,115,90,6,5,40
2025-10-06,ITM-009,Furniture,3,80,450,8,5,40
2025-10-06,ITM-006,Accessories,15,58,40,33,3,40
2025-10-07,ITM-004,Furniture,10,136,45,16,7,40
2025-10-07,ITM-003,Furniture,8,91,150,9,4,40
2025-10-07,ITM-002,Electronics,9,68,800,49,6,40
2025-10-07,ITM-010,Electronics,6,23,200,3,5,40
2025-10-07,ITM-009,Furniture,8,54,450,8,3,40
2025-10-07,ITM-007,Accessories,7,68,25,1,6,40
2025-10-08,ITM-004,Furniture,6,38,45,16,6,40
2025-10-08,ITM-002,Electronics,4,11,800,49,7,40
2025-10-08,ITM-005,Accessories,2,96,90,6,3,40
2025-10-08,ITM-010,Electronics,5,122,200,3,7,40
2025-10-08,ITM-001,Electronics,3,116,400,31,7,40
2025-10-08,ITM-007,Accessories,3,144,25,1,6,40
2025-10-08,ITM-006,Accessories,5,88,40,33,7,40
2025-10-09,ITM-008,Electronics,5,53,300,23,7,40
2025-10-09,ITM-003,Furniture,3,57,150,9,3,40
2025-10-09,ITM-002,Electronics,8,12,800,49,7,40
2025-10-09,ITM-010,Electronics,1,53,200,3,7,40
2025-10-09,ITM-001,Electronics,3,20,400,31,3,40
2025-10-09,ITM-006,Accessories,12,104,40,33,3,40
2025-10-10,ITM-008,Electronics,5,62,300,23,6,40
2025-10-10,ITM-004,Furniture,11,61,45,16,4,40
2025-10-10,ITM-003,Furniture,4,61,150,9,4,40
2025-10-10,ITM-002,Electronics,10,78,800,49,6,40
2025-10-10,ITM-005,Accessories,6,149,90,6,6,40
2025-10-10,ITM-010,Electronics,19,104,200,3,7,40
